始发分拣中心,到达分拣中心,货量
SC22,SC8,296
SC18,SC8,213
SC7,SC8,240
SC15,SC8,172
SC52,SC8,72
SC2,SC8,104
SC28,SC8,54
SC19,SC8,257
SC44,SC8,139
SC23,SC8,103
SC30,SC8,75
SC36,SC8,97
SC4,SC8,147
SC24,SC8,205
SC22,SC15,67
SC7,SC15,176
SC19,SC15,336
SC8,SC15,38
SC44,SC15,16
SC63,SC15,245
SC4,SC15,15
SC51,SC15,12
SC22,SC47,340
SC18,SC47,234
SC7,SC47,211
SC55,SC47,84
SC15,SC47,240
SC52,SC47,62
SC2,SC47,104
SC28,SC47,70
SC19,SC47,351
SC8,SC47,203
SC43,SC47,180
SC44,SC47,146
SC23,SC47,134
SC30,SC47,68
SC36,SC47,133
SC4,SC47,150
SC24,SC47,209
SC48,SC47,43
SC22,SC7,204
SC18,SC7,222
SC55,SC7,128
SC15,SC7,167
SC52,SC7,79
SC2,SC7,99
SC28,SC7,30
SC19,SC7,225
SC8,SC7,171
SC44,SC7,142
SC23,SC7,62
SC30,SC7,85
SC4,SC7,139
SC24,SC7,234
SC48,SC7,35
SC22,SC5,122
SC18,SC5,188
SC7,SC5,117
SC52,SC5,69
SC2,SC5,96
SC28,SC5,22
SC19,SC5,173
SC8,SC5,146
SC44,SC5,145
SC23,SC5,41
SC30,SC5,64
SC24,SC5,138
SC22,SC4,49
SC18,SC4,48
SC7,SC4,77
SC52,SC4,63
SC2,SC4,81
SC28,SC4,8
SC19,SC4,137
SC8,SC4,96
SC23,SC4,16
SC30,SC4,47
SC18,SC51,14
SC7,SC51,55
SC52,SC51,49
SC2,SC51,50
SC19,SC51,68
SC30,SC51,36
SC18,SC2,149
SC36,SC2,94
SC38,SC6,261
SC32,SC6,88
SC21,SC6,123
SC12,SC6,560
SC27,SC25,115
SC16,SC25,76
SC29,SC25,129
SC56,SC25,176
SC37,SC25,207
SC54,SC25,182
SC58,SC25,196
SC1,SC25,254
SC27,SC1,174
SC16,SC1,82
SC29,SC1,335
SC56,SC1,206
SC54,SC1,165
SC58,SC1,37
SC25,SC1,50
SC55,SC44,108
SC5,SC44,32
SC43,SC44,195
SC24,SC44,208
SC48,SC44,44
SC66,SC44,281
SC2,SC19,356
SC60,SC57,256
SC68,SC57,30
SC32,SC57,59
SC21,SC57,76
SC10,SC57,183
SC68,SC10,78
SC32,SC10,85
SC21,SC10,78
SC61,SC10,228
SC26,SC10,123
SC32,SC60,36
SC21,SC60,111
SC41,SC60,431
SC39,SC60,119
SC3,SC35,207
SC9,SC31,179
SC53,SC31,223
SC34,SC31,237
SC9,SC53,184
SC31,SC53,220
SC53,SC9,199
SC34,SC9,214
SC35,SC3,260
