分拣中心,日期,货量
SC48,2023/8/1,685
SC61,2023/8/1,662
SC63,2023/8/1,1663
SC54,2023/8/1,9487
SC68,2023/8/1,1018
SC44,2023/8/1,15734
SC15,2023/8/1,3037
SC66,2023/8/1,988
SC9,2023/8/1,22661
SC53,2023/8/1,26860
SC38,2023/8/1,3696
SC20,2023/8/1,183
SC39,2023/8/1,2574
SC47,2023/8/1,43261
SC8,2023/8/1,35424
SC43,2023/8/1,3875
SC52,2023/8/1,4320
SC31,2023/8/1,9189
SC21,2023/8/1,1938
SC49,2023/8/1,5378
SC37,2023/8/1,1187
SC29,2023/8/1,5605
SC5,2023/8/1,17298
SC23,2023/8/1,1944
SC16,2023/8/1,2202
SC36,2023/8/1,846
SC57,2023/8/1,12177
SC2,2023/8/1,6957
SC12,2023/8/1,3408
SC18,2023/8/1,5277
SC19,2023/8/1,8386
SC58,2023/8/1,1316
SC27,2023/8/1,4179
SC1,2023/8/1,39517
SC46,2023/8/1,2163
SC34,2023/8/1,8896
SC14,2023/8/1,3096
SC51,2023/8/1,9574
SC26,2023/8/1,5243
SC32,2023/8/1,3817
SC24,2023/8/1,6428
SC4,2023/8/1,17932
SC28,2023/8/1,292
SC41,2023/8/1,1714
SC17,2023/8/1,17057
SC40,2023/8/1,3152
SC7,2023/8/1,34322
SC60,2023/8/1,47423
SC10,2023/8/1,19533
SC35,2023/8/1,20958
SC3,2023/8/1,9206
SC30,2023/8/1,3584
SC55,2023/8/1,3987
SC6,2023/8/1,22827
SC22,2023/8/1,5867
SC56,2023/8/1,2084
SC25,2023/8/1,38119
SC48,2023/8/2,697
SC61,2023/8/2,696
SC63,2023/8/2,1734
SC54,2023/8/2,9058
SC68,2023/8/2,1040
SC44,2023/8/2,15370
SC15,2023/8/2,3240
SC66,2023/8/2,979
SC9,2023/8/2,23978
SC53,2023/8/2,28030
SC38,2023/8/2,3708
SC20,2023/8/2,84
SC39,2023/8/2,2647
SC47,2023/8/2,42697
SC8,2023/8/2,37991
SC43,2023/8/2,3826
SC52,2023/8/2,3253
SC31,2023/8/2,9002
SC21,2023/8/2,1765
SC49,2023/8/2,5712
SC37,2023/8/2,538
SC29,2023/8/2,5397
SC5,2023/8/2,19548
SC23,2023/8/2,1857
SC16,2023/8/2,1926
SC36,2023/8/2,740
SC57,2023/8/2,12052
SC2,2023/8/2,7052
SC12,2023/8/2,3663
SC18,2023/8/2,4817
SC19,2023/8/2,7318
SC58,2023/8/2,825
SC27,2023/8/2,4025
SC1,2023/8/2,40008
SC46,2023/8/2,1774
SC34,2023/8/2,8588
SC14,2023/8/2,2229
SC51,2023/8/2,10043
SC26,2023/8/2,4069
SC32,2023/8/2,3498
SC24,2023/8/2,6013
SC4,2023/8/2,17955
SC28,2023/8/2,296
SC41,2023/8/2,1741
SC17,2023/8/2,17204
SC40,2023/8/2,2909
SC7,2023/8/2,35100
SC60,2023/8/2,47632
SC10,2023/8/2,20483
SC35,2023/8/2,21487
SC3,2023/8/2,9337
SC30,2023/8/2,2868
SC55,2023/8/2,4038
SC6,2023/8/2,23462
SC22,2023/8/2,6045
SC56,2023/8/2,1984
SC25,2023/8/2,37993
SC48,2023/8/3,657
SC61,2023/8/3,707
SC63,2023/8/3,1796
SC54,2023/8/3,8554
SC68,2023/8/3,1059
SC44,2023/8/3,15204
SC15,2023/8/3,3259
SC66,2023/8/3,822
SC9,2023/8/3,21736
SC53,2023/8/3,27609
SC38,2023/8/3,3461
SC20,2023/8/3,89
SC39,2023/8/3,2473
SC47,2023/8/3,41947
SC8,2023/8/3,34293
SC43,2023/8/3,3131
SC52,2023/8/3,2787
SC31,2023/8/3,8613
SC21,2023/8/3,1512
SC49,2023/8/3,5753
SC37,2023/8/3,495
SC29,2023/8/3,5535
SC5,2023/8/3,18118
SC23,2023/8/3,1903
SC16,2023/8/3,1635
SC36,2023/8/3,643
SC57,2023/8/3,11685
SC2,2023/8/3,6858
SC12,2023/8/3,3710
SC18,2023/8/3,4929
SC19,2023/8/3,8060
SC58,2023/8/3,817
SC27,2023/8/3,4065
SC1,2023/8/3,38477
SC46,2023/8/3,1668
SC34,2023/8/3,8440
SC14,2023/8/3,2181
SC51,2023/8/3,9403
SC26,2023/8/3,4055
SC32,2023/8/3,3217
SC24,2023/8/3,6208
SC4,2023/8/3,17464
SC28,2023/8/3,331
SC41,2023/8/3,1789
SC17,2023/8/3,17128
SC40,2023/8/3,2788
SC7,2023/8/3,34377
SC60,2023/8/3,47003
SC10,2023/8/3,20768
SC35,2023/8/3,20067
SC3,2023/8/3,9358
SC30,2023/8/3,3016
SC55,2023/8/3,4130
SC6,2023/8/3,22994
SC22,2023/8/3,6078
SC56,2023/8/3,1629
SC25,2023/8/3,38455
SC48,2023/8/4,673
SC61,2023/8/4,680
SC63,2023/8/4,1741
SC54,2023/8/4,8219
SC68,2023/8/4,1003
SC44,2023/8/4,15346
SC15,2023/8/4,4364
SC66,2023/8/4,789
SC9,2023/8/4,23468
SC53,2023/8/4,28487
SC38,2023/8/4,3378
SC20,2023/8/4,72
SC39,2023/8/4,2421
SC47,2023/8/4,40968
SC8,2023/8/4,36149
SC43,2023/8/4,2848
SC52,2023/8/4,3989
SC31,2023/8/4,8910
