分拣中心,日期,小时,货量
SC54,2023/11/6,19,784
SC54,2023/11/21,5,72
SC54,2023/11/30,12,209
SC54,2023/11/13,1,520
SC54,2023/11/4,12,278
SC54,2023/11/4,21,1235
SC54,2023/11/5,18,893
SC54,2023/11/15,18,558
SC54,2023/11/9,2,256
SC54,2023/11/29,13,443
SC54,2023/11/2,4,439
SC54,2023/11/27,2,86
SC54,2023/11/27,20,571
SC54,2023/11/17,21,576
SC54,2023/11/10,4,193
SC54,2023/11/8,21,1093
SC54,2023/11/19,9,440
SC54,2023/11/4,14,828
SC54,2023/11/27,17,136
SC54,2023/11/23,3,77
SC54,2023/11/26,16,749
SC54,2023/11/27,10,585
SC54,2023/11/9,11,676
SC54,2023/11/10,20,1600
SC54,2023/11/17,18,838
SC54,2023/11/21,22,692
SC54,2023/11/9,19,663
SC54,2023/11/17,5,70
SC54,2023/11/24,13,419
SC54,2023/11/21,1,51
SC54,2023/11/12,2,859
SC54,2023/11/13,14,710
SC54,2023/11/11,6,1709
SC54,2023/11/24,23,619
SC54,2023/11/19,5,73
SC54,2023/11/8,2,291
SC54,2023/11/8,20,804
SC54,2023/11/1,4,965
SC54,2023/11/19,4,64
SC54,2023/11/25,15,218
SC54,2023/11/11,5,1367
SC54,2023/11/1,11,1360
SC54,2023/11/4,2,300
SC54,2023/11/11,15,1644
SC54,2023/11/2,14,1206
SC54,2023/11/13,21,992
SC54,2023/11/13,12,202
SC54,2023/11/15,7,95
SC54,2023/11/3,9,548
SC54,2023/11/17,4,147
SC54,2023/11/17,23,689
SC54,2023/11/28,12,128
SC54,2023/11/28,21,609
SC54,2023/11/25,9,464
SC54,2023/11/6,15,696
SC54,2023/11/11,0,1056
SC54,2023/11/25,11,471
SC54,2023/11/3,19,938
SC54,2023/11/12,12,615
SC54,2023/11/8,12,506
SC54,2023/11/15,8,124
SC54,2023/11/17,19,838
SC54,2023/11/12,10,1498
SC54,2023/11/1,2,1135
SC54,2023/11/20,5,66
SC54,2023/11/16,23,791
SC54,2023/11/22,15,276
SC54,2023/11/22,5,82
SC54,2023/11/1,0,850
SC54,2023/11/26,19,508
SC54,2023/11/9,7,136
SC54,2023/11/16,4,64
SC54,2023/11/18,19,578
SC54,2023/11/14,5,96
SC54,2023/11/3,6,210
SC54,2023/11/14,16,402
SC54,2023/11/20,16,796
SC54,2023/11/26,21,577
SC54,2023/11/17,0,237
SC54,2023/11/30,20,713
SC54,2023/11/6,9,462
SC54,2023/11/24,11,541
SC54,2023/11/12,16,1192
SC54,2023/11/28,2,95
SC54,2023/11/21,0,214
SC54,2023/11/19,13,376
SC54,2023/11/4,20,1231
SC54,2023/11/1,19,1634
SC54,2023/11/3,5,222
SC54,2023/11/3,15,785
SC54,2023/11/19,23,711
SC54,2023/11/28,20,450
SC54,2023/11/17,13,449
SC54,2023/11/29,14,38
SC54,2023/11/8,16,957
SC54,2023/11/18,10,554
SC54,2023/11/21,23,642
SC54,2023/11/26,17,105
SC54,2023/11/13,0,218
SC54,2023/11/18,17,148
SC54,2023/11/10,22,2134
SC54,2023/11/18,18,530
SC54,2023/11/23,22,635
SC54,2023/11/24,17,122
SC54,2023/11/5,16,531
SC54,2023/11/14,18,860
